ACTIVE SYNCHRONIZATION,,,,,,,,
,,,,,,,,
grain size, period [us], duty cycle, relative latency (1/1024 periods), latency [us], latency resolution [us], missed events, time elapsed [ms], tasks completed
  20,  164, 12%,   4223,   1013,   160,      283,    143,  16000
  20,  164, 25%,   1164,    279,   160,       17,    168,  16000
  20,  164, 37%,    340,     81,   160,        0,    169,  16000
  20,  164, 50%,   3201,    768,   160,        3,    171,  16000
  20,  164, 62%,    332,     79,   160,        0,    170,  16000
  20,  164, 75%,   1148,    275,   160,       18,    169,  16000
  20,  164, 87%,   4194,   1006,   160,      254,    145,  16000
  20,  246, 12%,   1117,    402,   240,       13,    137,  16000
  20,  246, 25%,    207,     74,   240,        0,    140,  16000
  20,  246, 37%,    201,     72,   240,        0,    140,  16000
  20,  246, 50%,   2203,    793,   240,        2,    141,  16000
  20,  246, 62%,    220,     79,   240,        0,    140,  16000
  20,  246, 75%,   2126,    765,   240,        2,    141,  16000
  20,  246, 87%,   1106,    398,   240,       13,    137,  16000
  20,  328, 12%,   1094,    525,   320,        6,    128,  16000
  20,  328, 25%,   1205,    578,   320,        1,    129,  16000
  20,  328, 37%,    167,     80,   320,        0,    129,  16000
  20,  328, 50%,   2116,   1015,   320,        2,    130,  16000
  20,  328, 62%,    163,     78,   320,        0,    129,  16000
  20,  328, 75%,    167,     80,   320,        0,    129,  16000
  20,  328, 87%,   1083,    519,   320,        7,    128,  16000
  20,  410, 12%,   1077,    646,   400,        1,    122,  16000
  20,  410, 25%,    133,     79,   400,        0,    122,  16000
  20,  410, 37%,    134,     80,   400,        0,    122,  16000
  20,  410, 50%,   1120,    672,   400,        1,    123,  16000
  20,  410, 62%,    131,     78,   400,        0,    122,  16000
  20,  410, 75%,    131,     78,   400,        0,    122,  16000
  20,  410, 87%,   1071,    642,   400,        1,    122,  16000
  20,  492, 12%,   1069,    769,   480,        1,    118,  16000
  20,  492, 25%,     94,     67,   480,        0,    118,  16000
  20,  492, 37%,    111,     79,   480,        0,    118,  16000
  20,  492, 50%,     98,     70,   480,        0,    119,  16000
  20,  492, 62%,   1066,    767,   480,        1,    119,  16000
  20,  492, 75%,     93,     66,   480,        0,    118,  16000
  20,  492, 87%,    104,     74,   480,        0,    118,  16000
  20,  574, 12%,     92,     77,   560,        0,    115,  16000
  20,  574, 25%,   1062,    892,   560,        1,    116,  16000
  20,  574, 37%,     93,     78,   560,        0,    115,  16000
  20,  574, 50%,   1059,    889,   560,        1,    117,  16000
  20,  574, 62%,     94,     78,   560,        0,    116,  16000
  20,  574, 75%,    115,     96,   560,        0,    116,  16000
  20,  574, 87%,   1057,    887,   560,        1,    116,  16000
  20,  656, 12%,     80,     76,   640,        0,    113,  16000
  20,  656, 25%,     83,     79,   640,        0,    114,  16000
  20,  656, 37%,     83,     79,   640,        0,    114,  16000
  20,  656, 50%,     83,     79,   640,        0,    114,  16000
  20,  656, 62%,    107,    102,   640,        0,    114,  16000
  20,  656, 75%,   1055,   1012,   640,        1,    115,  16000
  20,  656, 87%,     78,     74,   640,        0,    114,  16000
  20,  738, 12%,   1053,   1137,   720,        1,    112,  16000
  20,  738, 25%,     67,     72,   720,        0,    112,  16000
  20,  738, 37%,     72,     77,   720,        0,    112,  16000
  20,  738, 50%,     72,     77,   720,        0,    113,  16000
  20,  738, 62%,     66,     71,   720,        0,    112,  16000
  20,  738, 75%,   1052,   1136,   720,        1,    113,  16000
  20,  738, 87%,     67,     72,   720,        0,    112,  16000
  20,  820, 12%,     55,     66,   800,        0,    111,  16000
  20,  820, 25%,     64,     76,   800,        0,    112,  16000
  20,  820, 37%,     67,     80,   800,        0,    111,  16000
  20,  820, 50%,    495,    594,   800,        0,    112,  16000
  20,  820, 62%,     63,     75,   800,        0,    111,  16000
  20,  820, 75%,     62,     74,   800,        0,    111,  16000
  20,  820, 87%,     66,     79,   800,        0,    111,  16000
  20,  902, 12%,     51,     67,   880,        0,    111,  16000
  20,  902, 25%,     58,     76,   880,        0,    110,  16000
  20,  902, 37%,    221,    291,   880,        0,    111,  16000
  20,  902, 50%,     60,     79,   880,        0,    110,  16000
  20,  902, 62%,    419,    553,   880,        0,    111,  16000
  20,  902, 75%,     61,     80,   880,        0,    111,  16000
  20,  902, 87%,   1042,   1375,   880,        1,    110,  16000
  20,  984, 12%,     48,     69,   960,        0,    109,  16000
  20,  984, 25%,     55,     79,   960,        0,    109,  16000
  20,  984, 37%,     41,     59,   960,        0,    110,  16000
  20,  984, 50%,     43,     61,   960,        0,    109,  16000
  20,  984, 62%,   1046,   1506,   960,        1,    110,  16000
  20,  984, 75%,     71,    102,   960,        0,    109,  16000
  20,  984, 87%,    481,    692,   960,        0,    111,  16000
  20, 1066, 12%,     43,     67,  1041,        0,    109,  16000
  20, 1066, 25%,     51,     79,  1041,        0,    108,  16000
  20, 1066, 37%,     50,     78,  1041,        0,    109,  16000
  20, 1066, 50%,     47,     73,  1041,        0,    109,  16000
  20, 1066, 62%,     44,     68,  1041,        0,    109,  16000
  20, 1066, 75%,     51,     79,  1041,        0,    109,  16000
  20, 1066, 87%,     50,     78,  1041,        0,    108,  16000
  20, 1148, 12%,     38,     63,  1121,        0,    108,  16000
  20, 1148, 25%,     47,     78,  1121,        0,    108,  16000
  20, 1148, 37%,     67,    112,  1121,        0,    108,  16000
  20, 1148, 50%,     47,     78,  1121,        0,    109,  16000
  20, 1148, 62%,     47,     78,  1121,        0,    108,  16000
  20, 1148, 75%,     47,     78,  1121,        0,    109,  16000
  20, 1148, 87%,     46,     77,  1121,        0,    109,  16000
  20, 1230, 12%,     65,    117,  1201,        0,    108,  16000
  20, 1230, 25%,     42,     75,  1201,        0,    108,  16000
  20, 1230, 37%,     42,     75,  1201,        0,    108,  16000
  20, 1230, 50%,     44,     79,  1201,        0,    108,  16000
  20, 1230, 62%,    204,    367,  1201,        0,    109,  16000
  20, 1230, 75%,     44,     79,  1201,        0,    107,  16000
  20, 1230, 87%,   1039,   1870,  1201,        1,    109,  16000
 200,  164, 12%,   2175,    522,   160,      176,    154,  16000
 200,  164, 25%,   1162,    278,   160,       17,    167,  16000
 200,  164, 37%,   3201,    768,   160,        3,    169,  16000
 200,  164, 50%,    331,     79,   160,        0,    168,  16000
 200,  164, 62%,    326,     78,   160,        0,    168,  16000
 200,  164, 75%,   1145,    274,   160,       15,    167,  16000
 200,  164, 87%,   2218,    532,   160,      163,    155,  16000
 200,  246, 12%,   1117,    402,   240,       13,    137,  16000
 200,  246, 25%,   2129,    766,   240,        3,    140,  16000
 200,  246, 37%,    204,     73,   240,        0,    139,  16000
 200,  246, 50%,    203,     73,   240,        0,    140,  16000
 200,  246, 62%,   2160,    777,   240,        2,    140,  16000
 200,  246, 75%,    216,     77,   240,        0,    140,  16000
 200,  246, 87%,   2068,    744,   240,       14,    138,  16000
 200,  328, 12%,   1093,    524,   320,        7,    129,  16000
 200,  328, 25%,   1083,    519,   320,        1,    129,  16000
 200,  328, 37%,    157,     75,   320,        0,    128,  16000
 200,  328, 50%,    216,    103,   320,        0,    128,  16000
 200,  328, 62%,   1350,    648,   320,        1,    129,  16000
 200,  328, 75%,    166,     79,   320,        0,    129,  16000
 200,  328, 87%,   1083,    519,   320,        5,    128,  16000
 200,  410, 12%,   1076,    645,   400,        2,    123,  16000
 200,  410, 25%,   1220,    732,   400,        1,    123,  16000
 200,  410, 37%,    127,     76,   400,        0,    123,  16000
 200,  410, 50%,    134,     80,   400,        0,    123,  16000
 200,  410, 62%,    129,     77,   400,        0,    123,  16000
 200,  410, 75%,   1070,    642,   400,        1,    123,  16000
 200,  410, 87%,   1070,    642,   400,        1,    123,  16000
 200,  492, 12%,    108,     77,   480,        0,    120,  16000
 200,  492, 25%,     90,     64,   480,        0,    119,  16000
 200,  492, 37%,   1067,    768,   480,        1,    120,  16000
 200,  492, 50%,    102,     73,   480,        0,    119,  16000
 200,  492, 62%,    110,     79,   480,        0,    119,  16000
 200,  492, 75%,     87,     62,   480,        0,    119,  16000
 200,  492, 87%,   1067,    768,   480,        1,    120,  16000
 200,  574, 12%,     87,     73,   560,        0,    116,  16000
 200,  574, 25%,     95,     79,   560,        0,    117,  16000
 200,  574, 37%,     94,     78,   560,        0,    117,  16000
 200,  574, 50%,   1059,    889,   560,        1,    117,  16000
 200,  574, 62%,     86,     72,   560,        0,    116,  16000
 200,  574, 75%,   1057,    887,   560,        1,    118,  16000
 200,  574, 87%,     90,     75,   560,        0,    117,  16000
 200,  656, 12%,    111,    106,   640,        0,    114,  16000
 200,  656, 25%,   1057,   1014,   640,        1,    115,  16000
 200,  656, 37%,     76,     72,   640,        0,    115,  16000
 200,  656, 50%,   1055,   1012,   640,        1,    115,  16000
 200,  656, 62%,     77,     73,   640,        0,    115,  16000
 200,  656, 75%,     82,     78,   640,        0,    114,  16000
 200,  656, 87%,     82,     78,   640,        0,    115,  16000
 200,  738, 12%,   1051,   1135,   720,        1,    114,  16000
 200,  738, 25%,     73,     78,   720,        0,    113,  16000
 200,  738, 37%,    121,    130,   720,        0,    115,  16000
 200,  738, 50%,     72,     77,   720,        0,    114,  16000
 200,  738, 62%,     69,     74,   720,        0,    114,  16000
 200,  738, 75%,     69,     74,   720,        0,    113,  16000
 200,  738, 87%,     72,     77,   720,        0,    114,  16000
 200,  820, 12%,     61,     73,   800,        0,    113,  16000
 200,  820, 25%,     58,     69,   800,        0,    114,  16000
 200,  820, 37%,     61,     73,   800,        0,    113,  16000
 200,  820, 50%,     65,     78,   800,        0,    113,  16000
 200,  820, 62%,     64,     76,   800,        0,    113,  16000
 200,  820, 75%,     64,     76,   800,        0,    112,  16000
 200,  820, 87%,     65,     78,   800,        0,    113,  16000
 200,  902, 12%,     79,    104,   880,        0,    112,  16000
 200,  902, 25%,     58,     76,   880,        0,    112,  16000
 200,  902, 37%,     60,     79,   880,        0,    112,  16000
 200,  902, 50%,     57,     75,   880,        0,    111,  16000
 200,  902, 62%,   1045,   1379,   880,        1,    113,  16000
 200,  902, 75%,     52,     68,   880,        0,    112,  16000
 200,  902, 87%,     79,    104,   880,        0,    112,  16000
 200,  984, 12%,     43,     61,   960,        0,    111,  16000
 200,  984, 25%,     45,     64,   960,        0,    111,  16000
 200,  984, 37%,     42,     60,   960,        0,    111,  16000
 200,  984, 50%,    443,    637,   960,        0,    112,  16000
 200,  984, 62%,     55,     79,   960,        0,    111,  16000
 200,  984, 75%,     48,     69,   960,        0,    112,  16000
 200,  984, 87%,     51,     73,   960,        0,    111,  16000
 200, 1066, 12%,     44,     68,  1041,        0,    110,  16000
 200, 1066, 25%,     50,     78,  1041,        0,    110,  16000
 200, 1066, 37%,     48,     74,  1041,        0,    110,  16000
 200, 1066, 50%,    348,    542,  1041,        0,    111,  16000
 200, 1066, 62%,     50,     78,  1041,        0,    111,  16000
 200, 1066, 75%,   1043,   1627,  1041,        1,    111,  16000
 200, 1066, 87%,     50,     78,  1041,        0,    111,  16000
 200, 1148, 12%,     48,     80,  1121,        0,    110,  16000
 200, 1148, 25%,     47,     78,  1121,        0,    110,  16000
 200, 1148, 37%,     45,     75,  1121,        0,    111,  16000
 200, 1148, 50%,     45,     75,  1121,        0,    110,  16000
 200, 1148, 62%,     46,     77,  1121,        0,    111,  16000
 200, 1148, 75%,     46,     77,  1121,        0,    110,  16000
 200, 1148, 87%,     46,     77,  1121,        0,    111,  16000
 200, 1230, 12%,     42,     75,  1201,        0,    110,  16000
 200, 1230, 25%,     31,     55,  1201,        0,    109,  16000
 200, 1230, 37%,     43,     77,  1201,        0,    109,  16000
 200, 1230, 50%,     41,     73,  1201,        0,    109,  16000
 200, 1230, 62%,     42,     75,  1201,        0,    111,  16000
 200, 1230, 75%,     29,     52,  1201,        0,    110,  16000
 200, 1230, 87%,    341,    613,  1201,        0,    110,  16000
 400,  164, 12%,   2171,    521,   160,      162,    160,  16000
 400,  164, 25%,   1163,    279,   160,       12,    172,  16000
 400,  164, 37%,    327,     78,   160,        0,    173,  16000
 400,  164, 50%,    331,     79,   160,        0,    173,  16000
 400,  164, 62%,    357,     85,   160,        0,    172,  16000
 400,  164, 75%,   1145,    274,   160,       16,    172,  16000
 400,  164, 87%,   2215,    531,   160,      158,    160,  16000
 400,  246, 12%,   1112,    400,   240,       19,    141,  16000
 400,  246, 25%,    209,     75,   240,        0,    143,  16000
 400,  246, 37%,    218,     78,   240,        0,    143,  16000
 400,  246, 50%,    224,     80,   240,        0,    144,  16000
 400,  246, 62%,    204,     73,   240,        0,    144,  16000
 400,  246, 75%,    230,     82,   240,        0,    143,  16000
 400,  246, 87%,   1102,    396,   240,       14,    141,  16000
 400,  328, 12%,   2111,   1013,   320,        6,    132,  16000
 400,  328, 25%,    164,     78,   320,        0,    132,  16000
 400,  328, 37%,   1086,    521,   320,        1,    132,  16000
 400,  328, 50%,    161,     77,   320,        0,    132,  16000
 400,  328, 62%,    163,     78,   320,        0,    131,  16000
 400,  328, 75%,   1636,    785,   320,        1,    133,  16000
 400,  328, 87%,   1084,    520,   320,        4,    131,  16000
 400,  410, 12%,   1074,    644,   400,        1,    126,  16000
 400,  410, 25%,   1075,    645,   400,        1,    127,  16000
 400,  410, 37%,    132,     79,   400,        0,    126,  16000
 400,  410, 50%,    130,     78,   400,        0,    126,  16000
 400,  410, 62%,   1069,    641,   400,        1,    126,  16000
 400,  410, 75%,    129,     77,   400,        0,    126,  16000
 400,  410, 87%,   1070,    642,   400,        1,    125,  16000
 400,  492, 12%,     87,     62,   480,        0,    122,  16000
 400,  492, 25%,   1073,    772,   480,        1,    123,  16000
 400,  492, 37%,    108,     77,   480,        0,    122,  16000
 400,  492, 50%,    110,     79,   480,        0,    122,  16000
 400,  492, 62%,   1065,    766,   480,        1,    123,  16000
 400,  492, 75%,     92,     66,   480,        0,    122,  16000
 400,  492, 87%,     97,     69,   480,        0,    123,  16000
 400,  574, 12%,     91,     76,   560,        0,    120,  16000
 400,  574, 25%,     88,     73,   560,        0,    120,  16000
 400,  574, 37%,     86,     72,   560,        0,    120,  16000
 400,  574, 50%,     87,     73,   560,        0,    120,  16000
 400,  574, 62%,     84,     70,   560,        0,    119,  16000
 400,  574, 75%,    723,    607,   560,        0,    121,  16000
 400,  574, 87%,     93,     78,   560,        0,    120,  16000
 400,  656, 12%,   1056,   1013,   640,        1,    119,  16000
 400,  656, 25%,     76,     72,   640,        0,    118,  16000
 400,  656, 37%,   1056,   1013,   640,        1,    119,  16000
 400,  656, 50%,     83,     79,   640,        0,    118,  16000
 400,  656, 62%,     79,     75,   640,        0,    118,  16000
